player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Tyron Smith,6161,T,DAL,2015,622,22,96.46,0.03536977491961415,False,3.8599999999999994,0.3754180888987553,0.35007998302360394,0.02533810587515134,0.0018768967314926918
Andrew Whitworth,3000,T,CIN,2015,604,20,96.69,0.033112582781456956,False,3.5600000000000023,0.3607138157540786,0.33553514721546424,0.02517866853861439,0.0018650865584158808
Joe Thomas,3619,T,CLV,2015,756,24,96.83,0.031746031746031744,False,7.359999999999999,0.3521757227878741,0.3270991636533383,0.025076559134535825,0.0018575228988545055
Ryan Schraeder,8496,T,ATL,2015,704,24,96.59,0.03409090909090909,False,2.6500000000000057,0.36008027586899555,0.335298564191578,0.02478171167741755,0.0018356823464753742
Matt Slauson,5117,G,CHI,2015,605,12,98.02,0.019834710743801654,False,6.239999999999995,0.38167093784931017,0.35707088842420925,0.02460004942510091,0.0018222258833408083
Zack Martin,8651,G,DAL,2015,622,13,97.91,0.02090032154340836,False,3.8599999999999994,0.3811614228735163,0.3570015503497655,0.02415987252375079,0.001789620186944503
Lane Johnson,7786,T,PHI,2015,715,28,96.08,0.039160839160839164,False,8.420000000000002,0.36153228058226494,0.3384746264418509,0.023057654140414052,0.0017079743807714113
Trent Williams,5529,T,WAS,2015,547,19,96.53,0.03473491773308958,False,3.6099999999999994,0.32687790697372143,0.3045333278525923,0.022344579121129138,0.0016551540089725287
Marshal Yanda,3702,G,BLT,2015,743,17,97.71,0.02288021534320323,False,8.879999999999995,0.3525879622063588,0.33089750405783014,0.021690458148528657,0.0016067006035947154
Josh Sitton,4449,G,GB,2015,740,19,97.43,0.025675675675675677,False,13.980000000000004,0.3673055578473741,0.34573632960821155,0.021569228239162574,0.0015977206103083388
Morgan Moses,8701,T,WAS,2015,611,27,95.58,0.044189852700491,False,3.6099999999999994,0.36149137849499585,0.34024177345789,0.02124960503710588,0.0015740448175633984
Kevin Zeitler,7032,G,CIN,2015,606,16,97.36,0.026402640264026403,False,3.5600000000000023,0.36446301940916803,0.34330935140959695,0.02115366799957108,0.0015669383703385985
Trai Turner,8727,G,CAR,2015,590,17,97.12,0.0288135593220339,False,4.840000000000003,0.3759102947710061,0.3549957431008599,0.02091455167014622,0.0015492260496404607
Cordy Glenn,7045,T,BUF,2015,598,27,95.48,0.0451505016722408,False,6.579999999999998,0.35389917162292844,0.3334433704117638,0.020455801211164637,0.0015152445341603436
Terron Armstead,7856,T,NO,2015,609,20,96.72,0.03284072249589491,False,5.609999999999999,0.2872801554735286,0.2670496044118039,0.020230551061724666,0.0014985593379055308
Donald Penn,3459,T,OAK,2015,674,32,95.25,0.04747774480712166,False,4.25,0.3584421558155044,0.3385604025950561,0.01988175322044833,0.0014727224607739503
Taylor Lewan,8646,T,TEN,2015,586,23,96.08,0.03924914675767918,False,8.89,0.3070153423631256,0.2873722276611819,0.019643114701943687,0.0014550455334773102
Travis Frederick,7812,C,DAL,2015,622,10,98.39,0.01607717041800643,False,3.8599999999999994,0.38306288619706064,0.3636840186279244,0.01937886756913626,0.001435471671787871
Marcus Gilbert,6215,T,PIT,2015,694,33,95.24,0.04755043227665706,False,4.560000000000002,0.34697618371451766,0.32775373937216024,0.019222444342357425,0.00142388476610055
T.J. Lang,5032,G,GB,2015,667,18,97.3,0.026986506746626688,False,13.980000000000004,0.3306037873355537,0.31157606327135473,0.019027724064198948,0.0014094610417925146
Gabe Jackson,8716,G,OAK,2015,688,23,96.66,0.03343023255813953,False,4.25,0.37140882679927306,0.35244134560918916,0.0189674811900839,0.0014049986066728816
