player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Joe Thomas,3619,T,CLV,16,0,8,93.9,1,21,704,100.0,100.0,98.2,1,24,2,756,756,90.7,0,18,355,100.0,100.0,96.9,20,2,388,388,96.83,94.85
Mitchell Schwartz,7041,T,CLV,16,1,8,80.7,8,32,704,100.0,100.0,96.7,2,43,3,756,756,79.3,3,24,355,100.0,100.0,95.6,29,2,388,388,94.31,92.53
Alex Mack,4944,C,CLV,16,0,8,75.2,4,28,704,100.0,100.0,97.2,2,36,4,756,756,68.3,4,18,355,100.0,100.0,96.1,25,3,388,388,95.24,93.56
Max Unger,4972,C,NO,16,0,20,84.7,1,13,699,99.9,99.9,98.9,1,15,1,751,752,81.0,0,7,288,100.0,100.0,98.4,8,1,318,318,98.0,97.48
Marshal Yanda,3702,G,BLT,16,1,3,90.7,1,15,700,99.9,99.9,98.7,1,17,1,743,744,87.6,0,9,301,100.0,100.0,98.2,10,1,323,323,97.71,96.9
Rick Wagner,7950,T,BLT,16,1,3,68.0,11,40,700,100.0,100.0,96.2,2,52,1,743,743,58.2,7,30,301,100.0,100.0,93.5,38,1,323,323,93.0,88.24
Josh Sitton,4449,G,GB,16,0,12,89.8,1,13,661,100.0,100.0,98.2,5,19,5,740,740,81.0,1,12,308,100.0,100.0,96.6,17,4,358,358,97.43,95.25
Joe Barksdale,6244,T,SD,16,1,27,77.8,6,34,685,100.0,100.0,96.2,3,46,6,739,739,69.1,5,28,339,100.0,100.0,93.7,38,5,361,361,93.78,89.47
Riley Reiff,7029,T,DET,16,0,11,73.7,7,38,700,100.0,100.0,95.9,5,51,6,734,734,59.6,4,29,284,100.0,100.0,93.1,36,3,298,298,93.05,87.92
Jack Mewhort,8694,G,IND,16,2,14,81.0,11,33,688,100.0,100.0,96.8,2,44,0,730,730,69.6,7,27,310,100.0,100.0,94.5,34,0,328,328,93.97,89.63
Zane Beadles,5570,G,JAX,16,0,15,63.4,5,30,683,100.0,100.0,96.6,0,41,6,725,725,53.6,2,19,298,100.0,100.0,94.8,26,5,317,317,94.34,91.8
Stefen Wisniewski,6200,C,JAX,16,1,15,82.9,0,11,683,100.0,100.0,98.9,1,13,2,725,725,69.1,0,9,298,100.0,100.0,97.8,11,2,317,317,98.21,96.53
Allen Barbre,3735,G,PHI,16,2,24,67.3,10,30,671,100.0,100.0,96.9,3,41,1,715,715,53.1,9,24,321,100.0,100.0,94.9,33,0,348,348,94.27,90.52
Jason Kelce,6343,C,PHI,16,1,24,76.0,4,11,671,100.0,100.0,98.6,4,17,2,715,715,69.8,3,6,321,100.0,100.0,98.0,11,2,348,348,97.62,96.84
Lane Johnson,7786,T,PHI,16,1,24,74.0,6,16,671,100.0,100.0,97.5,5,28,6,715,715,67.5,6,10,321,100.0,100.0,96.0,21,5,348,348,96.08,93.97
Jake Matthews,8641,T,ATL,16,0,2,81.1,6,31,666,100.0,100.0,97.1,1,38,1,713,713,77.5,3,19,285,100.0,100.0,95.8,23,1,306,306,94.67,92.48
Andy Levitre,4974,G,ATL,16,0,2,69.1,4,37,666,100.0,100.0,96.6,3,43,2,713,713,58.0,2,30,285,100.0,100.0,94.0,33,1,306,306,93.97,89.22
Chris Chester,3001,G,ATL,16,0,2,68.4,6,25,666,100.0,100.0,96.8,1,37,6,713,713,67.7,2,15,285,100.0,100.0,95.3,22,5,306,306,94.81,92.81
Zach Strief,3155,T,NO,15,0,20,70.4,11,19,661,100.0,100.0,96.8,2,36,6,707,707,67.1,8,10,274,100.0,100.0,95.3,22,4,302,302,94.91,92.72
Ryan Schraeder,8496,T,ATL,16,0,2,81.2,2,20,658,100.0,100.0,98.0,3,24,2,704,704,75.7,2,17,282,100.0,100.0,95.9,21,2,303,303,96.59,93.07
