player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Creed Humphrey,59996,C,KC,17,1,16,84.1,2,5,692,100.0,100.0,99.3,1,8,1,742,742,80.5,1,4,285,100.0,100.0,99.1,5,0,314,314,98.92,98.41
Erik McCoy,37347,C,NO,7,1,20,84.1,1,2,253,100.0,100.0,99.4,2,3,0,276,276,79.4,1,2,114,100.0,100.0,98.7,3,0,127,127,98.91,97.64
Austin Schlottmann,30097,C,NYG,7,0,21,77.0,0,3,194,100.0,100.0,99.2,0,3,0,212,212,66.2,0,2,85,100.0,100.0,98.8,2,0,94,94,98.58,97.87
Zach Frazier,123419,C,PIT,17,0,25,74.7,3,6,596,100.0,100.0,99.1,0,10,1,634,634,62.8,3,5,223,100.0,100.0,97.8,9,1,240,240,98.42,96.25
T.J. Bass,131703,G,DAL,9,0,9,62.9,0,4,199,100.0,100.0,99.0,0,4,0,209,209,59.5,0,4,86,100.0,100.0,97.7,4,0,93,93,98.09,95.7
Luke Wattenberg,41024,C,DEN,15,2,10,71.0,3,10,603,100.0,100.0,98.9,3,13,0,641,641,61.9,2,6,259,100.0,100.0,98.5,8,0,274,274,97.97,97.08
Ryan Kelly,10652,C,MIN,8,0,18,77.7,0,3,179,100.0,100.0,98.6,0,4,1,191,191,76.7,0,2,89,100.0,100.0,97.8,3,1,92,92,97.91,96.74
Jake Andrews,81868,C,HST,16,0,13,67.2,3,10,605,100.0,100.0,98.8,3,14,1,656,656,57.7,1,8,258,100.0,100.0,97.9,10,1,281,281,97.87,96.44
Joe Thuney,10712,G,CHI,17,0,6,88.6,1,14,642,100.0,100.0,98.8,0,15,0,686,686,78.9,0,11,268,100.0,100.0,97.9,11,0,290,290,97.81,96.21
Aaron Brewer,46014,C,MIA,16,3,17,71.2,1,10,520,100.0,100.0,98.7,6,12,1,549,549,58.5,1,4,175,100.0,100.0,98.0,6,1,181,181,97.81,96.69
Ryan Neuzil,41123,C,ATL,17,0,2,59.3,4,9,589,100.0,100.0,98.7,2,14,1,627,627,60.0,3,4,312,100.0,100.0,98.6,8,1,328,328,97.77,97.56
Cam Jurgens,84014,C,PHI,14,1,24,60.9,1,10,454,100.0,100.0,98.8,3,11,0,484,484,62.5,1,7,223,100.0,100.0,98.2,8,0,239,239,97.73,96.65
Quenton Nelson,12954,G,IND,17,0,14,73.2,2,12,593,100.0,100.0,98.7,0,15,1,637,637,55.2,2,10,256,100.0,100.0,97.3,13,1,277,277,97.65,95.31
Connor McGovern,41714,C,BUF,16,1,4,73.4,2,12,557,100.0,100.0,98.7,2,14,0,593,593,72.8,0,8,244,100.0,100.0,98.4,8,0,264,264,97.64,96.97
Damien Lewis,81532,G,CAR,16,1,5,78.5,3,10,551,100.0,100.0,98.6,2,14,1,591,591,71.5,2,7,255,100.0,100.0,97.8,10,1,280,280,97.63,96.43
Luke Fortner,42028,C,NO,12,0,20,72.5,0,8,418,100.0,100.0,98.3,0,11,3,442,442,60.8,0,6,214,100.0,100.0,97.2,9,3,226,226,97.51,96.02
Hjalte Froholdt,44959,C,ARZ,17,2,1,72.0,2,17,740,100.0,100.0,98.6,3,20,1,788,788,70.8,2,10,370,100.0,100.0,98.1,13,1,396,396,97.46,96.72
Cade Mays,81995,C,CAR,13,0,5,69.4,3,8,399,100.0,100.0,98.6,0,11,0,429,429,52.8,3,5,173,100.0,100.0,97.7,8,0,191,191,97.44,95.81
Ted Karras,10855,C,CIN,17,0,7,70.7,2,16,691,100.0,100.0,98.6,2,19,1,733,733,72.2,1,11,362,100.0,100.0,98.1,13,1,384,384,97.41,96.61
Garett Bolles,11775,T,DEN,17,1,10,90.8,6,13,675,99.9,99.9,98.6,4,19,0,714,715,85.1,4,9,286,100.0,100.0,97.7,13,0,302,302,97.34,95.7
Lane Johnson,7786,T,PHI,10,0,24,80.4,0,7,251,100.0,100.0,98.6,2,7,0,262,262,81.2,0,6,127,100.0,100.0,97.6,6,0,134,134,97.33,95.52
Ethan Pocic,11813,C,CLV,13,0,8,62.2,3,9,481,100.0,100.0,98.3,1,14,2,518,518,55.9,1,8,256,100.0,100.0,97.9,10,1,277,277,97.3,96.39
Jalen Sundell,91396,C,SEA,13,1,29,67.7,2,9,377,100.0,100.0,98.5,2,11,0,407,407,60.1,1,8,151,100.0,100.0,97.0,9,0,159,159,97.3,94.34
Kevin Zeitler,7032,G,TEN,16,0,31,75.4,2,10,553,100.0,100.0,98.2,2,16,4,590,590,66.6,1,9,276,100.0,100.0,96.7,14,4,288,288,97.29,95.14
Andrew Thomas,59701,T,NYG,13,1,21,87.2,2,10,415,100.0,100.0,98.3,2,13,1,448,448,80.9,0,7,189,100.0,100.0,98.1,7,0,206,206,97.1,96.6
Warren McClendon Jr.,99081,T,LA,10,0,26,73.9,1,10,381,100.0,100.0,98.3,0,12,1,408,408,66.2,0,8,160,100.0,100.0,96.9,9,1,174,174,97.06,94.83
Steve Avila,77319,G,LA,13,1,26,70.6,5,8,449,100.0,100.0,98.3,1,14,1,475,475,55.8,5,5,180,100.0,100.0,96.7,11,1,192,192,97.05,94.27
Darnell Wright,98480,T,CHI,16,0,6,74.3,3,13,597,100.0,100.0,98.2,6,19,3,638,638,71.8,2,7,246,100.0,100.0,97.4,11,2,266,266,97.02,95.86
Jermaine Eluemunor,11914,T,NYG,16,2,21,76.7,3,12,585,100.0,100.0,98.0,5,19,4,638,638,76.0,3,4,257,100.0,100.0,97.1,11,4,286,286,97.02,96.15
John Michael Schmitz Jr.,55238,C,NYG,13,0,21,60.9,1,12,431,100.0,100.0,98.3,1,14,1,466,466,51.5,0,9,192,100.0,100.0,97.1,10,1,212,212,97.0,95.28
Tanor Bortolini,129915,C,IND,16,0,14,66.2,5,12,526,100.0,100.0,98.4,1,17,0,566,566,50.8,3,11,224,100.0,100.0,96.9,14,0,242,242,97.0,94.21
Coleman Shelton,39316,C,LA,17,1,26,49.6,3,15,624,100.0,100.0,98.2,2,20,2,663,663,35.0,2,13,256,100.0,100.0,96.7,16,1,274,274,96.98,94.16
Luke Wypler,129764,C,CLV,9,1,8,74.0,2,3,157,98.7,98.8,98.4,1,5,0,165,167,75.9,1,1,83,98.8,98.9,98.8,2,0,86,87,96.97,97.67
Laremy Tunsil,10647,T,WAS,14,2,32,88.9,2,11,444,100.0,100.0,98.1,4,15,2,490,490,84.7,0,9,189,100.0,100.0,97.1,10,1,213,213,96.94,95.31
Garrett Bradbury,46013,C,NE,17,0,19,63.1,4,16,605,100.0,100.0,98.3,0,20,0,642,642,56.9,3,11,302,100.0,100.0,97.7,14,0,325,325,96.88,95.69
Penei Sewell,81788,T,DET,16,0,11,80.3,6,11,573,100.0,100.0,98.2,0,19,2,601,601,77.4,4,6,250,100.0,100.0,97.6,11,1,265,265,96.84,95.85
Chris Paul,77579,G,WAS,16,0,32,77.4,2,13,485,100.0,100.0,98.0,1,17,2,535,535,68.0,2,10,187,100.0,100.0,96.3,13,1,211,211,96.82,93.84
Austin Corbett,46290,G,CAR,12,0,5,62.7,1,10,385,100.0,100.0,98.1,1,13,2,405,405,51.5,1,10,187,100.0,100.0,96.5,12,1,201,201,96.79,94.03
Dylan Cook,91689,T,PIT,5,0,25,80.7,3,2,176,100.0,100.0,98.0,0,6,1,187,187,73.5,2,1,61,100.0,100.0,97.5,3,0,63,63,96.79,95.24
Elgton Jenkins,46298,C,GB,9,0,12,72.5,2,6,293,100.0,100.0,98.0,0,10,2,310,310,66.1,2,3,124,100.0,100.0,97.2,6,1,132,132,96.77,95.45
Isaac Seumalo,10713,G,PIT,14,0,25,78.5,1,11,438,100.0,100.0,97.9,0,15,3,465,465,61.5,1,10,165,100.0,100.0,94.8,14,3,180,180,96.77,92.22
Mike Onwenu,27357,G,NE,17,0,19,78.2,1,18,610,100.0,100.0,98.1,2,21,2,648,648,74.9,1,13,303,100.0,100.0,97.0,16,2,327,327,96.76,95.11
