player,position,seasons,career_snaps,career_pressures,career_war
Kevin Zeitler,G,13,7947,237,0.015527291329660096
Trent Williams,T,12,6141,259,0.014502703114726557
Andrew Whitworth,T,9,5171,174,0.013748543604091801
Zack Martin,G,11,6265,182,0.012956641865121854
Joel Bitonio,G,12,7289,252,0.012188441814538717
Jake Matthews,T,12,7810,380,0.012128060783076336
Taylor Moton,T,8,5152,201,0.011949975073455143
David Bakhtiari,T,9,5324,212,0.011737717006657255
Garett Bolles,T,9,5358,227,0.011638667085860383
Laremy Tunsil,T,8,4623,165,0.011561431116987255
Terron Armstead,T,11,4630,161,0.011304961031499205
Tyron Smith,T,10,5160,212,0.010557508248739281
Lane Johnson,T,13,6250,273,0.010462866574740475
Brian O'Neill,T,8,4753,195,0.009991728477268567
Rodney Hudson,C,10,5592,73,0.009907159772481838
Tristan Wirfs,T,6,3920,100,0.009707205778697369
Quenton Nelson,G,8,5044,160,0.009630525312948562
Joe Thuney,G,10,6768,241,0.009164182925108406
Brandon Scherff,G,10,5453,208,0.009082739701286357
Ryan Ramczyk,T,7,3742,156,0.00897528155075095
Andrew Norwell,G,9,5195,189,0.008481428059428767
Taylor Lewan,T,7,3240,132,0.008444827267270392
Dion Dawkins,T,9,5540,267,0.008384125450520995
Marshal Yanda,G,6,3838,93,0.008285680034826343
Joe Staley,T,7,3754,180,0.00823261393003777
Duane Brown,T,10,5331,259,0.008202995998107032
David DeCastro,G,8,5127,184,0.008165616473885123
Demar Dotson,T,7,3943,179,0.007950261745543105
Jason Kelce,C,11,7179,195,0.00788262761068527
Brandon Brooks,G,7,4350,142,0.007564871118299917
Penei Sewell,T,5,3199,130,0.007464581026130124
Joe Thomas,T,5,3149,124,0.007241163818835352
Josh Sitton,G,5,2899,55,0.007153433453547547
Jack Conklin,T,9,4074,205,0.006983520975088039
Kelechi Osemele,G,7,3372,97,0.0066918539956474935
Shaq Mason,G,10,5957,254,0.006633927832488287
Ryan Schraeder,T,6,3032,138,0.006623412722986921
Ali Marpet,G,6,3974,132,0.006567318698530276
Rodger Saffold,G,8,4489,189,0.006427123580343182
T.J. Lang,G,6,3146,90,0.006321198405710608
Corey Linsley,C,9,5370,125,0.00632118731150535
Trai Turner,G,9,4684,203,0.00627616594380235
Mitch Morse,C,10,5600,159,0.006198353991889922
Cordy Glenn,T,7,3126,161,0.006042024644851717
Morgan Moses,T,11,6464,347,0.005990387137536364
Chris Lindstrom,G,7,3962,173,0.005980998731451275
Damien Lewis,G,6,3515,135,0.0059438300117607154
Russell Okung,T,7,3236,186,0.005931151161408317
Elgton Jenkins,G,5,2892,92,0.005751394346890352
Kelvin Beachum,T,12,6710,354,0.005590714644029001
Richie Incognito,G,5,2559,78,0.005548986885879642
Larry Warford,G,7,4038,149,0.005478572851232073
Ben Powers,G,6,2990,104,0.005459407342226264
Jason Peters,T,9,4671,226,0.005406090540875807
Alex Mack,C,9,5668,174,0.005393278682534264
Creed Humphrey,C,5,3765,59,0.005381858274609455
Kevin Dotson,G,6,2887,90,0.005380431611615147
Jermaine Eluemunor,T,5,2553,113,0.005307270632860278
Quinn Meinerz,G,5,2847,91,0.005238700106992318
Ben Jones,C,8,4518,138,0.005194656139470854
John Jerry,G,5,3057,107,0.005183202805553073
Jared Veldheer,T,6,2894,159,0.005097396766933784
Travis Frederick,C,6,3699,92,0.005072855120775821
Donald Penn,T,6,3730,201,0.005001288258995283
J.C. Tretter,C,7,3799,83,0.004948468467836229
Orlando Brown Jr.,T,8,4842,272,0.004829381680501085
Will Hernandez,G,8,4071,193,0.004791873551333386
Justin Pugh,G,8,3627,162,0.004761186330873862
Max Unger,C,6,3213,69,0.00474043443301919
Dalton Risner,G,7,3637,163,0.004728519860910023
A.J. Cann,G,7,4311,209,0.004626660869703958
Marcus Cannon,T,7,2910,171,0.004589428385761192
Braden Smith,T,8,3962,214,0.00457795068664009
J.R. Sweezy,G,7,3781,187,0.004576715237809528
