year,nflverse_team,n_dropbacks,total_epa,total_success,total_sacks,total_qb_hits,avg_cpoe
2013,ARI,622,-0.60278994,278.0,41.0,98.0,3.8050945
2013,ATL,710,28.07993,330.0,44.0,96.0,2.8431172
2013,BAL,685,-24.02105,274.0,48.0,85.0,-1.5709786
2013,BUF,607,-81.56501,246.0,48.0,103.0,-3.7098935
2013,CAR,551,64.552734,251.0,43.0,64.0,0.8516173
2013,CHI,630,100.64849,316.0,30.0,85.0,4.830148
2013,CIN,642,57.5415,297.0,29.0,46.0,1.13979
2013,CLE,750,-60.472874,296.0,49.0,118.0,-3.8274786
2013,DAL,632,47.188828,300.0,35.0,53.0,0.278111
2013,DEN,696,249.87448,382.0,20.0,54.0,6.247052
2013,DET,670,47.6906,309.0,23.0,66.0,-3.3220494
2013,GB,648,59.431572,307.0,45.0,71.0,2.957456
2013,HOU,681,-87.64773,280.0,42.0,109.0,-3.144113
2013,IND,663,52.973396,305.0,32.0,105.0,-1.4793215
2013,JAX,661,-107.46682,268.0,50.0,98.0,-3.951336
2013,KC,631,41.570076,281.0,41.0,72.0,-2.4123878
2013,LA,559,-37.611443,241.0,36.0,72.0,-3.8464763
2013,LAC,587,162.69156,309.0,30.0,62.0,7.9862833
2013,LV,600,-28.480612,253.0,44.0,71.0,-3.4954314
2013,MIA,663,1.7939835,290.0,58.0,97.0,-0.024611363
2013,MIN,627,-46.29603,259.0,44.0,80.0,-2.21946
2013,NE,669,71.91258,313.0,40.0,77.0,-1.35107
2013,NO,699,153.05374,355.0,37.0,74.0,5.3627353
2013,NYG,613,-72.69045,259.0,40.0,83.0,-3.0781877
2013,NYJ,561,-62.015514,228.0,47.0,93.0,-4.238978
2013,PHI,593,102.49646,275.0,46.0,82.0,2.5419035
2013,PIT,638,60.51882,303.0,43.0,71.0,3.2197447
2013,SEA,514,94.78205,251.0,44.0,90.0,6.0103793
2013,SF,503,74.887566,223.0,39.0,57.0,-1.3885148
2013,TB,574,-50.695217,225.0,47.0,75.0,-2.2527268
2013,TEN,609,65.60215,270.0,37.0,82.0,1.1614475
2013,WAS,693,-38.87814,290.0,43.0,94.0,-3.8766527
2014,ARI,613,12.074157,244.0,28.0,96.0,-4.5186462
2014,ATL,683,60.738735,339.0,31.0,91.0,1.5204074
2014,BAL,577,60.050636,276.0,19.0,55.0,-0.7293849
2014,BUF,631,-24.412066,273.0,39.0,85.0,-1.8330584
2014,CAR,619,29.569723,289.0,42.0,66.0,-1.0831093
2014,CHI,675,-37.187435,305.0,41.0,82.0,-0.055982977
2014,CIN,545,-15.026316,246.0,23.0,46.0,0.775271
2014,CLE,550,-24.289017,221.0,31.0,75.0,-7.1784234
2014,DAL,516,135.34984,267.0,30.0,50.0,5.734018
2014,DEN,627,116.35443,314.0,17.0,43.0,2.9939435
2014,DET,665,39.567688,299.0,45.0,89.0,-4.6079836
2014,GB,594,176.45943,315.0,30.0,61.0,2.6410758
2014,HOU,543,17.754173,249.0,26.0,77.0,-2.2025514
2014,IND,729,89.56055,349.0,29.0,110.0,1.190054
2014,JAX,652,-140.56076,243.0,71.0,116.0,-6.7204313
2014,KC,580,50.30923,262.0,49.0,78.0,-1.6151385
2014,LA,569,-53.995453,265.0,47.0,88.0,-1.4974405
2014,LAC,630,70.21729,305.0,37.0,76.0,4.585457
2014,LV,663,-102.74174,263.0,28.0,56.0,-6.1920433
2014,MIA,647,20.110851,313.0,46.0,99.0,2.1898203
2014,MIN,603,-12.774539,261.0,51.0,94.0,-2.1052725
2014,NE,647,102.127686,306.0,26.0,83.0,1.5075244
2014,NO,698,73.47767,351.0,30.0,79.0,3.4443295
2014,NYG,642,42.19708,292.0,30.0,69.0,0.8816722
2014,NYJ,591,-50.954372,238.0,47.0,89.0,-3.4448328
2014,PHI,672,26.837627,306.0,32.0,69.0,-0.9524837
2014,PIT,646,144.00871,334.0,33.0,60.0,5.577245
2014,SEA,547,68.20022,238.0,42.0,90.0,4.0083933
2014,SF,588,20.103163,255.0,52.0,68.0,-2.352321
2014,TB,603,-40.863895,252.0,52.0,124.0,-1.6034062
2014,TEN,591,-58.016834,243.0,50.0,93.0,-2.7986264
2014,WAS,629,-42.802116,267.0,58.0,108.0,0.9390965
2015,ARI,590,133.71112,299.0,27.0,102.0,4.3470654
2015,ATL,668,66.06831,332.0,32.0,89.0,-0.04672036
2015,BAL,706,-24.913467,313.0,24.0,80.0,-0.67111677
2015,BUF,559,51.177807,245.0,42.0,73.0,2.6147096
2015,CAR,559,87.79013,269.0,33.0,59.0,0.28499785
2015,CHI,576,16.950722,258.0,34.0,75.0,1.5404708
2015,CIN,572,124.368744,288.0,32.0,57.0,4.634053
2015,CLE,706,-37.55294,295.0,53.0,121.0,-0.73435104
2015,DAL,578,-59.359367,264.0,33.0,66.0,-0.76632583
2015,DEN,656,-38.525898,280.0,39.0,97.0,-1.8258089
2015,DET,703,18.006466,338.0,44.0,101.0,-0.1959041
2015,GB,665,12.338125,284.0,47.0,102.0,-1.0602995
2015,HOU,667,5.1599717,299.0,36.0,83.0,-4.2468276
2015,IND,690,-19.15005,299.0,37.0,115.0,-4.1965017
2015,JAX,687,14.791154,306.0,51.0,86.0,-3.010706
2015,KC,577,35.689125,263.0,46.0,77.0,-0.08398513
2015,LA,497,-96.72452,187.0,18.0,94.0,-6.1669517
2015,LAC,718,56.814426,344.0,40.0,106.0,2.9861972
2015,LV,657,-6.3392944,284.0,33.0,63.0,-2.5948036
