player,position,team_name,player_game_count,grades_pass_block,hits_allowed,hurries_allowed,pressures_allowed,sacks_allowed,snap_counts_pass_block,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,all_pass_pbwr,true_pass_set_pbwr,year
Scott Wells,C,SL,12,84.4,0,4,5,1,441,81.1,0,3,3,0,183,98.87,98.36,2013
Josh Sitton,G,GB,16,93.5,0,7,8,1,685,91.2,0,3,4,1,221,98.83,98.19,2013
Cody Wallace,C,PIT,6,83.1,0,0,2,2,166,71.7,0,0,2,2,72,98.8,97.22,2013
Dominic Raiola,C,DET,16,86.7,4,8,12,0,694,86.1,2,4,6,0,305,98.27,98.03,2013
Eric Wood,C,BUF,16,85.1,2,10,12,0,645,79.1,2,7,9,0,304,98.14,97.04,2013
Jason Kelce,C,PHI,16,80.8,1,8,12,3,622,81.2,0,4,5,1,318,98.07,98.43,2013
Roberto Garza,C,CHI,16,86.1,0,12,13,1,664,79.2,0,8,9,1,340,98.04,97.35,2013
Stefen Wisniewski,C,OAK,14,82.3,2,9,11,0,549,83.3,0,6,6,0,236,98.0,97.46,2013
Louis Vasquez,G,DEN,16,91.3,2,13,15,0,740,88.3,1,4,5,0,247,97.97,97.98,2013
Brian De La Puente,C,NO,16,84.4,3,9,15,3,739,78.8,1,4,7,2,286,97.97,97.55,2013
Max Unger,C,SEA,13,74.1,0,6,9,3,418,57.4,0,5,7,2,165,97.85,95.76,2013
Larry Warford,G,DET,16,86.6,5,10,15,0,694,76.9,3,9,12,0,305,97.84,96.07,2013
Evan Smith,C,GB,16,84.6,1,8,14,5,636,73.3,0,7,11,4,204,97.8,94.61,2013
Rodney Hudson,C,KC,15,80.6,2,7,14,5,637,74.4,0,4,8,4,218,97.8,96.33,2013
Manuel Ramirez,C,DEN,16,81.1,2,14,17,1,738,65.2,1,9,11,1,247,97.7,95.55,2013
Mike Pouncey,C,MIA,14,88.0,3,9,14,2,594,82.3,2,6,10,2,256,97.64,96.09,2013
Frank Gore,HB,SF,16,93.5,1,3,4,0,164,92.1,1,1,2,0,64,97.56,96.88,2013
Nick Hardwick,C,SD,16,83.4,1,14,15,0,612,83.2,1,7,8,0,345,97.55,97.68,2013
Nick Mangold,C,NYJ,16,88.2,1,14,15,0,581,85.3,0,10,10,0,308,97.42,96.75,2013
Samson Satele,C,IND,13,78.1,8,6,15,1,570,65.6,5,4,10,1,280,97.37,96.43,2013
Gary Barnidge,TE,CLV,16,91.0,1,4,5,0,182,89.7,0,0,0,0,43,97.25,100.0,2013
Brad Meester,C,JAX,16,79.2,1,13,19,5,688,67.3,0,8,12,4,270,97.24,95.56,2013
Ryan Kalil,C,CAR,16,81.2,0,15,16,1,578,86.8,0,7,7,0,255,97.23,97.25,2013
Jahri Evans,G,NO,14,88.4,4,12,18,2,647,78.0,1,10,13,2,249,97.22,94.78,2013
John Sullivan,C,MIN,16,82.0,2,11,18,5,630,72.2,2,7,13,4,258,97.14,94.96,2013
Geoff Schwartz,G,KC,12,83.1,2,6,10,2,340,80.3,1,2,4,1,112,97.06,96.43,2013
Ramon Foster,G,PIT,15,87.5,2,12,16,2,522,85.1,1,11,12,0,241,96.93,95.02,2013
Mike Pollak,G,CIN,7,78.0,3,2,6,1,194,54.0,2,2,5,1,57,96.91,91.23,2013
Will Montgomery,C,WAS,16,78.3,3,17,22,2,713,77.5,2,5,8,1,284,96.91,97.18,2013
Willie Colon,G,NYJ,16,89.1,3,14,18,1,579,84.6,3,11,15,1,309,96.89,95.15,2013
Kyle Cook,C,CIN,16,74.8,3,12,20,5,635,61.6,2,9,14,3,248,96.85,94.35,2013
Kraig Urbik,G,BUF,16,78.4,5,13,20,2,633,66.0,5,10,17,2,301,96.84,94.35,2013
Alex Mack,C,CLV,16,88.4,5,18,25,2,779,88.7,1,12,15,2,429,96.79,96.5,2013
Jon Asamoah,G,KC,12,80.7,0,12,13,1,400,72.7,0,6,6,0,139,96.75,95.68,2013
Kevin Zeitler,G,CIN,12,74.1,4,10,17,3,489,66.1,3,8,12,1,203,96.52,94.09,2013
Lyle Sendlein,C,ARZ,16,73.7,6,12,23,5,658,69.1,3,6,11,2,307,96.5,96.42,2013
Richie Incognito,G,MIA,8,78.9,3,2,11,6,312,69.4,1,2,9,6,131,96.47,93.13,2013
T.J. Lang,G,GB,16,77.1,5,16,24,3,671,64.9,3,8,13,2,216,96.42,93.98,2013
Clint Boling,G,CIN,12,81.9,0,17,17,0,474,79.4,0,8,8,0,201,96.41,96.02,2013
Travelle Wharton,G,CAR,16,84.6,3,14,17,0,474,81.5,2,10,12,0,207,96.41,94.2,2013
Travis Frederick,C,DAL,16,69.4,2,18,24,4,668,66.3,1,10,14,3,352,96.41,96.02,2013
Chris Scott,G,CAR,10,78.8,3,6,10,1,278,83.5,0,4,5,1,130,96.4,96.15,2013
Jonathan Goodwin,C,SF,16,78.4,1,14,19,4,528,64.6,0,10,14,4,223,96.4,93.72,2013
Orlando Franklin,T,DEN,15,74.1,4,18,24,2,661,67.4,2,11,15,2,223,96.37,93.27,2013
Joe Hawley,C,ATL,12,71.7,3,10,13,0,358,60.6,2,5,7,0,171,96.37,95.91,2013
Anthony Collins,T,CIN,11,86.4,0,12,12,0,330,79.7,0,7,7,0,105,96.36,93.33,2013
Brian Waters,G,DAL,7,86.7,2,6,8,0,218,84.1,2,5,7,0,129,96.33,94.57,2013
John Jerry,G,MIA,16,82.0,4,16,25,5,682,74.9,3,11,18,4,296,96.33,93.92,2013
Ben Grubbs,G,NO,16,84.6,5,20,28,3,740,76.2,3,12,18,3,286,96.22,93.71,2013
Evan Mathis,G,PHI,16,80.7,6,16,24,2,623,74.5,4,8,13,1,319,96.15,95.92,2013
Fernando Velasco,C,PIT,11,75.0,3,15,19,1,490,72.9,3,8,12,1,240,96.12,95.0,2013
Matt Slauson,G,CHI,16,82.7,9,15,26,2,664,78.5,4,11,16,1,340,96.08,95.29,2013
Kevin Boothe,G,NYG,16,75.3,6,16,25,3,638,68.3,4,14,20,2,361,96.08,94.46,2013
Uche Nwaneri,G,JAX,16,82.6,5,18,27,4,689,75.7,3,9,13,1,270,96.08,95.19,2013
Chris Myers,C,HST,16,74.2,5,22,28,1,710,77.4,3,11,14,0,366,96.06,96.17,2013
Jeremy Zuttah,C,TB,16,80.1,5,19,24,0,608,77.0,4,11,15,0,344,96.05,95.64,2013
Nate Garner,G,MIA,10,76.6,1,8,11,2,278,58.9,1,7,10,2,114,96.04,91.23,2013
Marshal Yanda,G,BLT,16,81.5,3,24,29,2,723,73.5,3,21,26,2,407,95.99,93.61,2013
James Carpenter,G,SEA,16,69.3,4,8,16,4,396,57.3,1,7,11,3,151,95.96,92.72,2013
Joe Staley,T,SF,16,87.5,2,14,20,4,494,78.7,1,14,17,2,212,95.95,91.98,2013
Brandon Fusco,G,MIN,15,73.2,4,17,23,2,563,68.2,2,11,14,1,233,95.91,93.99,2013
Andrew Whitworth,T,CIN,14,85.0,3,15,22,4,538,72.6,2,11,17,4,202,95.91,91.58,2013
Justin Blalock,G,ATL,16,85.8,5,21,31,5,753,75.4,4,17,26,5,373,95.88,93.03,2013
Kory Lichtensteiger,G,WAS,16,76.7,5,22,29,2,698,63.3,2,17,20,1,273,95.85,92.67,2013
Rob Sims,G,DET,16,78.2,5,23,29,1,694,71.0,3,17,21,1,305,95.82,93.11,2013
Doug Legursky,G,BUF,11,72.9,4,15,19,0,421,64.2,2,11,13,0,188,95.49,93.09,2013
Jim Cordle,C,NYG,10,65.0,3,6,13,4,287,55.3,3,5,11,3,155,95.47,92.9,2013
Chad Rinehart,G,SD,11,75.0,5,11,17,1,372,69.8,4,11,15,0,226,95.43,93.36,2013
Branden Albert,T,KC,12,84.9,6,13,23,4,503,74.8,3,7,13,3,175,95.43,92.57,2013
John Greco,G,CLV,14,81.2,10,14,30,6,646,76.0,5,13,24,6,361,95.36,93.35,2013
Tyron Smith,T,DAL,16,87.9,3,27,31,1,666,86.1,3,16,20,1,351,95.35,94.3,2013
Cordy Glenn,T,BUF,16,82.0,5,23,30,2,645,80.2,3,15,20,2,304,95.35,93.42,2013
Andy Levitre,G,TEN,16,77.7,10,19,30,1,643,67.6,8,16,24,0,340,95.33,92.94,2013
J.R. Sweezy,G,SEA,15,74.9,4,19,24,1,512,68.8,2,9,12,1,192,95.31,93.75,2013
Mike Brisiel,G,OAK,14,76.4,5,20,25,0,531,69.5,4,13,17,0,224,95.29,92.41,2013
Joe Thomas,T,CLV,16,94.0,9,26,37,2,779,90.5,6,22,29,1,429,95.25,93.24,2013
Daryn Colledge,G,ARZ,16,77.4,9,18,29,2,607,68.6,5,13,20,2,273,95.22,92.67,2013
Kyle Long,G,CHI,16,75.1,9,21,32,2,664,65.3,5,17,24,2,340,95.18,92.94,2013
Zach Strief,T,NO,15,81.7,4,26,33,3,685,76.6,2,16,20,2,263,95.18,92.4,2013
Rodger Saffold,T,SL,12,83.7,3,11,14,0,289,70.1,3,10,13,0,120,95.16,89.17,2013
Guy Whimper,T,PIT,7,70.0,0,5,8,3,164,65.3,0,3,6,3,80,95.12,92.5,2013
Trent Williams,T,WAS,16,88.3,6,21,35,8,712,79.1,5,16,27,6,284,95.08,90.49,2013
Brandon Brooks,G,HST,15,77.8,7,25,33,1,665,74.0,4,15,19,0,339,95.04,94.4,2013
A.Q. Shipley,G,BLT,11,72.9,8,13,22,1,443,62.5,7,10,17,0,248,95.03,93.15,2013
Chris Clark,T,DEN,15,77.1,6,19,32,7,644,56.6,4,10,20,6,212,95.03,90.57,2013
Gino Gradkowski,C,BLT,16,65.0,7,26,36,3,723,69.8,3,14,19,2,407,95.02,95.33,2013
Jordan Gross,T,CAR,16,91.0,1,22,29,6,578,85.8,1,14,19,4,255,94.98,92.55,2013
Logan Mankins,G,NE,16,73.7,5,21,36,10,712,56.2,2,15,24,7,288,94.94,91.67,2013
Will Svitek,T,NE,5,71.2,1,5,8,2,158,64.5,1,2,4,1,67,94.94,94.03,2013
Shawn Lauvao,G,CLV,11,74.2,4,18,26,4,513,66.7,3,14,19,2,278,94.93,93.17,2013
Alex Boone,G,SF,16,70.8,3,22,27,2,529,62.5,2,13,16,1,223,94.9,92.83,2013
David DeCastro,G,PIT,15,76.2,5,23,30,2,586,64.4,4,19,25,2,263,94.88,90.49,2013
Sebastian Vollmer,T,NE,8,79.4,1,13,16,2,311,70.3,1,8,10,1,121,94.86,91.74,2013
Ryan Wendell,C,NE,16,59.9,7,24,37,6,714,60.4,4,12,18,2,289,94.82,93.77,2013
Ron Leary,G,DAL,16,70.5,3,27,35,5,666,56.2,2,21,27,4,352,94.74,92.33,2013
King Dunlap,T,SD,11,77.3,3,13,19,3,360,76.5,1,11,14,2,205,94.72,93.17,2013
Mackenzy Bernadeau,G,DAL,12,74.2,3,17,24,4,452,66.2,2,12,16,2,223,94.69,92.83,2013
Duane Brown,T,HST,14,85.3,9,20,32,3,602,80.4,5,10,17,2,304,94.68,94.41,2013
Andre Smith,T,CIN,16,73.0,2,27,35,6,655,66.5,0,22,25,3,249,94.66,89.96,2013
Nate Solder,T,NE,15,80.3,2,23,35,10,646,72.8,0,15,21,6,266,94.58,92.11,2013
Marcus Cannon,T,NE,12,75.5,4,12,17,1,309,65.0,3,8,12,1,121,94.5,90.08,2013
Demar Dotson,T,TB,16,81.4,2,27,34,5,615,78.1,2,18,25,5,347,94.47,92.8,2013
Harvey Dahl,G,SL,9,72.2,8,9,19,2,342,70.5,5,5,12,2,146,94.44,91.78,2013
Chance Warmack,G,TEN,16,67.6,4,25,36,7,643,65.9,3,14,22,5,340,94.4,93.53,2013
Robert Turner,C,TEN,6,57.9,3,8,13,2,232,58.9,1,6,7,0,121,94.4,94.21,2013
Jeff Allen,G,KC,14,64.5,5,22,32,5,568,58.1,1,11,16,4,190,94.37,91.58,2013
Joe Barksdale,T,SL,16,77.6,5,18,27,4,479,69.7,3,12,18,3,205,94.36,91.22,2013
Charlie Johnson,G,MIN,15,74.2,8,23,35,4,616,64.3,5,16,24,3,257,94.32,90.66,2013
Zane Beadles,G,DEN,16,67.7,9,32,42,1,738,62.6,2,19,21,0,247,94.31,91.5,2013
David Bakhtiari,T,GB,16,72.1,4,27,39,8,685,65.0,2,17,22,3,221,94.31,90.05,2013
Corey Hilliard,T,DET,9,67.4,1,14,16,1,280,56.1,1,11,13,1,116,94.29,88.79,2013
Tyler Polumbus,T,WAS,16,76.2,9,28,41,4,713,75.5,5,14,20,1,284,94.25,92.96,2013
Eugene Monroe,T,BLT,15,86.4,7,27,39,5,675,86.0,3,19,25,3,349,94.22,92.84,2013
Jeromey Clary,G,SD,15,78.0,6,23,34,5,586,68.4,6,22,33,5,342,94.2,90.35,2013
Russell Okung,T,SEA,8,59.2,3,9,14,2,241,39.8,0,8,10,2,102,94.19,90.2,2013
Jason Peters,T,PHI,16,87.2,3,28,35,4,590,83.1,1,23,26,2,304,94.07,91.45,2013
Tony Pashos,T,OAK,12,73.4,1,19,26,6,435,66.1,0,14,19,5,189,94.02,89.95,2013
Doug Free,T,DAL,16,79.3,0,34,40,6,668,76.0,0,24,29,5,352,94.01,91.76,2013
Garrett Reynolds,G,ATL,14,76.3,3,22,29,4,481,65.0,3,17,23,3,240,93.97,90.42,2013
Erik Pears,T,BUF,16,71.1,6,29,39,4,645,62.8,5,24,30,1,304,93.95,90.13,2013
Phil Loadholt,T,MIN,15,76.3,5,27,36,4,593,66.9,2,22,28,4,247,93.93,88.66,2013
Ted Larsen,G,TB,8,71.8,2,12,15,1,243,67.2,2,9,12,1,142,93.83,91.55,2013
James Brewer,G,NYG,10,59.7,4,11,16,1,259,57.9,3,7,11,1,147,93.82,92.52,2013
Kelechi Osemele,G,BLT,7,70.6,6,11,17,0,275,62.2,5,9,14,0,156,93.82,91.03,2013
Khalif Barnes,T,OAK,16,78.7,2,34,39,3,629,68.5,1,26,27,0,271,93.8,90.04,2013
Don Barclay,T,GB,14,65.6,6,22,36,8,577,60.0,2,10,17,5,178,93.76,90.45,2013
Anthony Davis,T,SF,16,74.8,4,24,33,5,528,72.2,0,18,21,3,223,93.75,90.58,2013
Chris Chester,G,WAS,16,64.7,4,38,45,3,713,51.4,1,28,32,3,284,93.69,88.73,2013
Dan Connolly,G,NE,16,59.2,12,27,42,3,664,49.7,7,16,26,3,272,93.67,90.44,2013
Davin Joseph,G,TB,16,69.4,7,29,39,3,610,57.6,7,22,32,3,347,93.61,90.78,2013
Jake Long,T,SL,15,80.4,4,22,32,6,497,72.9,0,14,19,5,206,93.56,90.78,2013
Michael Bowie,T,SEA,9,60.4,3,11,19,5,294,47.3,2,7,12,3,96,93.54,87.5,2013
David Stewart,T,TEN,12,72.6,5,23,33,5,506,65.5,3,19,27,5,271,93.48,90.04,2013
Austin Pasztor,T,JAX,12,69.5,10,18,33,5,506,66.6,6,9,18,3,193,93.48,90.67,2013
Austin Howard,T,NYJ,16,69.9,15,21,38,2,581,64.7,11,17,29,1,309,93.46,90.61,2013
Kelvin Beachum,T,PIT,15,77.0,6,21,34,7,508,62.0,5,14,25,6,225,93.31,88.89,2013
Jared Veldheer,T,OAK,5,74.4,0,13,14,1,209,80.3,0,7,8,1,99,93.3,91.92,2013
Gosder Cherilus,T,IND,16,72.9,13,30,47,4,700,70.0,8,17,29,4,328,93.29,91.16,2013
Mike Iupati,G,SF,12,60.5,3,19,25,3,371,37.1,1,17,20,2,159,93.26,87.42,2013
Wade Smith,G,HST,16,72.6,8,29,41,4,607,69.0,7,16,26,3,318,93.25,91.82,2013
Peter Konz,C,ATL,16,57.2,3,33,42,6,618,48.8,1,24,28,3,306,93.2,90.85,2013
Jeff Linkenbach,T,IND,8,66.9,2,12,16,2,235,60.0,2,8,12,2,112,93.19,89.29,2013
Brian Schwenke,C,TEN,9,55.7,8,12,23,3,335,45.4,7,8,17,2,175,93.13,90.29,2013
Hugh Thornton,G,IND,14,55.2,16,16,39,7,565,34.9,10,14,29,5,266,93.1,89.1,2013
Paul Fanaika,G,ARZ,16,60.9,7,32,46,7,658,44.3,3,23,30,4,307,93.01,90.23,2013
Michael Roos,T,TEN,16,80.0,7,36,45,2,643,76.6,5,23,30,2,340,93.0,91.18,2013
Sam Brenner,G,MIA,7,51.8,2,10,13,1,183,42.7,1,7,9,1,88,92.9,89.77,2013
Will Rackley,G,JAX,11,53.4,7,19,30,4,422,45.0,4,12,19,3,177,92.89,89.27,2013
Mike McGlynn,G,IND,14,61.4,11,26,41,4,570,45.8,9,19,30,2,261,92.81,88.51,2013
Riley Reiff,T,DET,16,72.7,8,34,49,7,675,59.9,5,25,35,5,294,92.74,88.1,2013
Anthony Castonzo,T,IND,16,75.0,8,39,51,4,701,65.8,5,28,36,3,329,92.72,89.06,2013
D'Brickashaw Ferguson,T,NYJ,16,81.6,4,31,43,8,583,80.6,4,23,32,5,310,92.62,89.68,2013
Donald Penn,T,TB,16,75.9,6,28,46,12,616,69.6,5,19,33,9,348,92.53,90.52,2013
Brian Winters,G,NYJ,13,52.9,6,15,31,10,412,47.1,4,11,23,8,219,92.48,89.5,2013
Jeremy Trueblood,T,ATL,11,66.6,7,24,33,2,436,65.6,5,12,19,2,218,92.43,91.28,2013
Matt Kalil,T,MIN,16,78.2,12,33,49,4,646,68.9,10,20,33,3,262,92.41,87.4,2013
Marcus Gilbert,T,PIT,16,69.0,5,30,46,11,605,60.5,4,23,36,9,272,92.4,86.76,2013
LaAdrian Waddle,T,DET,9,72.1,8,17,25,0,326,60.3,6,14,20,0,152,92.33,86.84,2013
Todd Herremans,G,PHI,16,56.8,10,34,48,4,623,42.3,6,24,33,3,319,92.3,89.66,2013
Chris Williams,G,SL,16,56.2,8,28,41,5,531,52.3,5,11,21,5,231,92.28,90.91,2013
Ryan Schraeder,T,ATL,7,66.8,0,12,16,4,207,72.2,0,7,8,1,99,92.27,91.92,2013
D.J. Fluker,T,SD,15,66.2,8,33,47,6,601,56.4,4,27,37,6,339,92.18,89.09,2013
Charles Brown,T,NO,14,63.4,9,33,49,7,622,48.5,5,19,30,6,232,92.12,87.07,2013
Jamon Meredith,G,TB,13,63.4,7,11,19,1,240,52.1,4,10,15,1,124,92.08,87.9,2013
Adam Snyder,G,SF,13,55.5,2,8,14,4,175,39.6,1,5,9,3,65,92.0,86.15,2013
Luke Joeckel,T,JAX,5,62.9,1,11,15,3,186,50.7,1,9,13,3,79,91.94,83.54,2013
Byron Bell,T,CAR,16,70.2,6,31,46,9,569,60.8,5,21,34,8,249,91.92,86.35,2013
Justin Pugh,T,NYG,16,68.0,4,43,52,5,643,62.2,2,37,42,3,365,91.91,88.49,2013
Tyson Clabo,T,MIA,15,67.0,10,31,52,11,635,59.7,6,20,34,8,274,91.81,87.59,2013
Jermon Bushrod,T,CHI,16,70.3,9,42,55,4,664,62.1,4,32,40,4,340,91.72,88.24,2013
Michael Oher,T,BLT,16,72.2,7,41,56,8,676,65.7,6,32,43,5,373,91.72,88.47,2013
Mitchell Schwartz,T,CLV,16,74.0,19,35,65,11,779,68.3,14,26,50,10,429,91.66,88.34,2013
Breno Giacomini,T,SEA,9,65.2,1,19,24,4,286,71.2,0,11,13,2,122,91.61,89.34,2013
Paul McQuistan,G,SEA,16,41.0,6,23,37,8,426,30.2,3,13,20,4,153,91.31,86.93,2013
Donald Stephenson,T,KC,13,61.4,5,22,28,1,322,44.6,1,13,14,0,97,91.3,85.57,2013
Eric Winston,T,ARZ,16,63.7,8,43,58,7,649,55.7,5,29,39,5,306,91.06,87.25,2013
Bryant McKinnie,T,MIA,15,67.4,13,38,59,8,657,61.7,8,23,37,6,323,91.02,88.54,2013
Shelley Smith,G,SL,10,58.7,4,12,18,2,200,46.5,4,8,13,1,91,91.0,85.71,2013
Ryan Harris,T,HST,15,65.2,12,14,28,2,305,62.2,8,11,21,2,153,90.82,86.27,2013
Lane Johnson,T,PHI,16,63.0,8,39,57,10,620,57.3,5,30,42,7,318,90.81,86.79,2013
Will Beatty,T,NYG,16,63.0,7,39,59,13,639,55.7,3,31,46,12,364,90.77,87.36,2013
Vladimir Ducasse,G,NYJ,9,51.4,4,11,17,2,181,46.2,3,6,10,1,93,90.61,89.25,2013
Nate Chandler,G,CAR,11,49.5,0,23,27,4,286,31.9,0,19,21,2,116,90.56,81.9,2013
Jonathan Martin,T,MIA,7,66.9,7,15,29,7,306,54.4,4,10,20,6,129,90.52,84.5,2013
Johnnie Troutman,G,SD,11,54.3,6,29,36,1,379,32.6,6,25,32,1,216,90.5,85.19,2013
Eric Fisher,T,KC,14,49.5,5,35,47,7,493,27.6,3,25,33,5,169,90.47,80.47,2013
Derek Newton,T,HST,16,56.9,7,37,50,6,517,49.2,6,24,35,5,275,90.33,87.27,2013
Cameron Bradfield,T,JAX,13,60.4,14,29,50,7,506,46.2,7,18,28,3,191,90.12,85.34,2013
Oniel Cousins,G,CLV,9,48.6,2,20,23,1,228,33.7,1,16,18,1,127,89.91,85.83,2013
David Diehl,G,NYG,11,45.5,7,33,42,2,413,26.5,6,28,36,2,228,89.83,84.21,2013
Levi Brown,T,PIT,4,47.2,6,8,18,4,175,30.7,6,7,16,3,89,89.71,82.02,2013
Lamar Holmes,T,ATL,16,63.6,13,53,76,10,735,54.2,10,34,53,9,366,89.66,85.52,2013
Lucas Nix,G,OAK,12,31.4,2,33,40,5,382,5.7,2,24,29,3,159,89.53,81.76,2013
Colin Brown,G,BUF,6,27.1,7,16,26,3,224,25.1,5,10,18,3,116,88.39,84.48,2013
Mike Adams,T,PIT,14,57.5,8,24,36,4,309,53.3,4,16,24,4,152,88.35,84.21,2013
Jordan Mills,T,CHI,16,46.7,13,62,78,3,640,42.0,9,45,56,2,330,87.81,83.03,2013
Bradley Sowell,T,ARZ,14,47.8,12,40,59,7,484,32.4,9,28,42,5,218,87.81,80.73,2013
Marshall Newhouse,T,GB,6,40.2,4,13,20,3,162,16.7,4,9,16,3,63,87.65,74.6,2013
Alex Mack,C,CLV,5,81.6,0,1,1,0,161,84.1,0,1,1,0,58,99.38,98.28,2014
Will Montgomery,C,DEN,9,87.5,0,3,4,1,331,83.5,0,1,2,1,103,98.79,98.06,2014
Joe Hawley,C,ATL,4,84.5,1,1,2,0,162,85.3,1,0,1,0,77,98.77,98.7,2014
Nick Mangold,C,NYJ,15,86.4,2,4,7,1,563,91.0,1,0,1,0,283,98.76,99.65,2014
Andrew Whitworth,T,CIN,16,93.5,1,8,9,0,571,89.7,0,5,5,0,208,98.42,97.6,2014
Josh Sitton,G,GB,16,94.3,4,6,10,0,618,90.9,3,5,8,0,259,98.38,96.91,2014
Rodney Hudson,C,KC,16,86.9,2,6,10,2,612,74.4,1,3,6,2,211,98.37,97.16,2014
Orlando Franklin,G,DEN,16,81.6,2,8,11,1,652,66.6,2,6,9,1,209,98.31,95.69,2014
Kelechi Osemele,G,BLT,14,82.4,2,6,10,2,558,79.5,1,5,7,1,235,98.21,97.02,2014
Zack Martin,G,DAL,16,92.0,2,8,10,0,548,85.6,2,5,7,0,277,98.18,97.47,2014
Kevin Zeitler,G,CIN,12,83.4,2,6,9,1,415,64.3,2,5,8,1,157,97.83,94.9,2014
Kyle Long,G,CHI,15,85.0,2,13,15,0,675,80.8,2,10,12,0,310,97.78,96.13,2014
Daniel Kilgore,C,SF,7,76.8,0,6,6,0,265,74.5,0,3,3,0,123,97.74,97.56,2014
